Comment,Designator,Footprint,LCSC,Quantity
100nF,C4,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663,1
1uF,C1,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849,1
AO3400A,Q1,SOT-23,C20917,1
1K,"R1,R16",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C21190,2
"4,7K",R10,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23162,1
470,"R7,R8",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23179,2
24K,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23352,1
10K,"R13,R2,R4,R5,R6",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C25804,5
TYPE-C16PIN,J5,CONN16_C16PIN_SHN,C393939,1
1N4148W,D2,D_SOD-123,C81598,1
CH224K,U1,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,C970725,1
Arduino_Nano_v3.x,A1,Arduino_Nano,,1
